firstName;lastName;nation abbrName
Youn«˘s;Kaboul;France
Daniel;Congr«∏;France
Eduardo;dos Reis Carvalho;Portugal
Alessandro;Diamanti;Italy
Ismael;Sosa;Argentina
Marco;Ruben;Argentina
Asamoah;Gyan;Ghana
Carlos;Carmona Bonet;Spain
Aldo Le«úo;Ram«rez;Colombia
Ron;Vlaar;Holland
Luke;Freeman;England
Shane;Long;Republic of Ireland
Sergio;Floccari;Italy
Danny;Simpson;England
Felix;Bastians;Germany
Paul;Aguilar;Mexico
Mike;Jensen;Denmark
Marco;Andreolli;Italy
Adrian;Mariappa;Jamaica
Jos«∏ Luis;Sanmart«n Mato;Spain
Mariano;And«–jar;Argentina
Johnny;Herrera;Chile
Kei;Kamara;Sierra Leone
Sacha;Kljestan;United States
Dax;McCarty;United States
Duè≠ko;Toè≠ié?;Serbia
Daniel;Kol«≠è?;Czech Republic
Andreas;Beck;Germany
Manuel;Iturra;Chile
Gustav;Svensson;Sweden
Tobias;Sippel;Germany
Ludovic;Baal;France
Ga«Ætan;Bong;Cameroon
Kamil;Grosicki;Poland
Diego;Biseswar;Holland
Stefano;Okaka;Italy
Jir«˘s;Kembo-Ekoko;Congo DR
Ol«vio;da Rosa;Brazil
Alessio;Cerci;Italy
Erik;Pieters;Holland
Fernando;Forestieri;Italy
Taras;Mykhalyk;Ukraine
Gary;Hooper;England
Tim;MatavèÛ;Slovenia
Alexandru;Epureanu;Moldova
Lucas;Barrios;Paraguay
Valentin;Stocker;Switzerland
Milan;èˇkoda;Czech Republic
Aur«∏lien;Chedjou;Cameroon
Yohan;Benalouane;Tunisia
Georg;Margreitter;Austria
Gregory;van der Wiel;Holland
Juan;Forl«n;Argentina
Jean-Armel;Kana-Biyik;Cameroon
Andr«∏;Castro Pereira;Portugal
Jonathan;Biabiany;France
Ricky;van Wolfswinkel;Holland
Djalma Braume;Manuel Abel Campos;Angola
Fabiano;Ribeiro de Freitas;Brazil
Michaè?;Pazdan;Poland
Rodolfo;Cota;Mexico
Miroslav;Stoch;Slovakia
Roman;Neust«œdter;Russia
Joel;Ward;England
Hamdi;Harbaoui;Tunisia
Juan;Torres Ruiz;Spain
Filip;éêoré?evié?;Serbia
Bruno;Ferreira Bonfim;Brazil
Kyle;Naughton;England
Ra«–l;Fdez-Cavada Mateos;Spain
Alberto;Garc«a Cabrera;Spain
Rafik;Halliche;Algeria
Christian;Tr«œsch;Germany
Claudemir;Domingues de Souza;Brazil
Sean;Morrison;England
Paul-Jos«∏;Mpoku;Congo DR
Aatif;Chahechouhe;Morocco
Mat«as;Su«≠rez;Argentina
Juan Francisco;Moreno Fuertes;Spain
Bruno;Ecu«∏l«∏ Manga;Gabon
Mubarak;Wakaso;Ghana
Riccardo;Meggiorini;Italy
Beno«©t;Poulain;France
Cristian;«Ålvarez;Argentina
Jake;Livermore;England
Miguel Angel;Britos;Uruguay
Eloy;Room;Cura«ıao
Ryan;Jack;Scotland
Daniel Jo«úo;Santos Candeias;Portugal
Olcay;èûahan;Turkey
Jon«≠s;Ramalho Chimeno;Spain
Aaron;Cresswell;England
Jan;Kovaè?«k;Czech Republic
Angelo Esmael;da Costa J«–nior;Brazil
é¯smail;K«Ùybaè?éÒ;Turkey
Vincent;Manceau;France
Jos«∏ Fernando;Viana de Santana;Brazil
Timoth«∏e;Kolodziejczak;France
Nicola;Rigoni;Italy
Xabier;Etxeita Gorritxat.;Spain
Miguel «Ångel;Herrero Javaloyas;Spain
Osvaldo;Mart«nez;Paraguay
Antonio;R«os;Mexico
Isaac;Brizuela;Mexico
Manuel;Gulde;Germany
Matt;Besler;United States
Omar;Elabdellaoui;Norway
K«∏vin;Th«∏ophile-Catherine;France
Luigi;Sepe;Italy
Alejandro;Bedoya;United States
Salman;Al Faraj;Saudi Arabia
Takashi;Usami;Japan
Lucas;Orb«≠n;Argentina
Diego;Arismendi;Uruguay
Niklas;Hult;Sweden
Renato;Ribeiro Calixto;Brazil
Luciano;Narsingh;Holland
Fabi«≠n;Rinaudo;Argentina
Milton;Caraglio;Argentina
Rafael;Cabral Barbosa;Brazil
Artur;Ionièúé?;Moldova
Mato;Jajalo;Bosnia and Herzegovina
David Martins;Sim«úo;Portugal
Allan;Nyom;Cameroon
Marc;Muniesa Mart«nez;Spain
Diego;Falcinelli;Italy
Bram;Nuytinck;Holland
Heinz;Lindner;Austria
Joel;Obi;Nigeria
Diafra;Sakho;Senegal
Francesco;Bardi;Italy
Conor;Hourihane;Republic of Ireland
Filip;éêuriéçié?;Serbia
Lasse;Sobiech;Germany
Yuto;Nagatomo;Japan
Gonzalo;Jara;Chile
Bill;Hamid;United States
Tiago Miguel;Ba«a Pinto;Portugal
James;Tavernier;England
Cheick;Doukour«∏;C«Ôte d'Ivoire
Hyun Jun;Suk;Korea Republic
Jos«∏ Pedro;Fuenzalida;Chile
Anselmo;de Moraes;Brazil
Giannelli;Imbula;France
Giulio;Donati;Italy
Dedryck;Boyata;Belgium
Lorenzo;Crisetig;Italy
Joaqu«n;Navarro Jim«∏nez;Spain
Antonino;Ragusa;Italy
Sergio;Araujo;Argentina
Greg;Cunningham;Republic of Ireland
Billy;Ketkeophomphone;France
Franco;Jara;Argentina
Majeed;Waris;Ghana
Dominick;Drexler;Germany
Nampalys;Mendy;France
Nicolas;Isimat-Mirin;France
Trent;Sainsbury;Australia
Alexander;Dom«nguez;Ecuador
Antonio Manuel;Luna Rodriguez;Spain
Bryan;Dabo;Burkina Faso
Ilja;Nestorovski;FYR Macedonia
Timm;Klose;Switzerland
Eric;Bauth«∏ac;France
Ilie;S«≠nchez Farres;Spain
Jordi;Masip L«¸pez;Spain
Michael;Esser;Germany
Graeme;Shinnie;Scotland
Adama;Soumaoro;France
Ben;Gibson;England
Tim;Melia;United States
Guillermo;Burdisso;Argentina
Tolga;Cié?erci;Turkey
Muhamed;Beè≠ié?;Bosnia and Herzegovina
Alhassan;Wakaso;Ghana
Emmanuel;Gigliotti;Argentina
Brecht;Dejaegere;Belgium
Ivan;Strinié?;Croatia
Rasmus;Falk Jensen;Denmark
Frederik;S«˜rensen;Denmark
«Ålvaro;V«≠zquez Garc«a;Spain
Matt;Doherty;Republic of Ireland
Nemanja;Nikolié?;Hungary
Gabr«™el;Vasconcelos F.;Brazil
Jonathan;Schmid;France
Siniè≠a;Ané?elkovié?;Slovenia
Aziz;Behich;Australia
Joao;Plata;Ecuador
Anderson Patric;Aguiar Oliveira;Brazil
Jack;Stephens;England
Fabi«≠n;Castillo;Colombia
Rodrigo;Mora;Uruguay
Diego;Char«≠;Colombia
Bobby;Reid;England
Welthon;Fiel Sampaio;Brazil
Koffi;Djidji;C«Ôte d'Ivoire
Marvin;Bakalorz;Germany
Paul;Dummett;Wales
Benjamin;van Leer;Holland
Diogo Jos«∏;Figueiras;Portugal
Pape Maly;Diamanka;Senegal
Joe;Ralls;England
Luis;Adv«ncula;Peru
Lorenzo;Melgarejo;Paraguay
Renato;Ibarra;Ecuador
Charlie;Taylor;England
Toni;Leistner;Germany
Ewerton Jos«∏;Almeida Santos;Brazil
David;Ferreiro Quiroga;Spain
Molla;Wagu«∏;Mali
Massimo;Luongo;Australia
Alex;Pritchard;England
Jean-Paul;Bo«Ætius;Holland
Anthony;Lozano;Honduras
Jordon;Ibe;England
Manuel;Pucciarelli;Italy
Esteban;Andrada;Argentina
Jairo;Samperio Bustara;Spain
Alexander;Ring;Finland
Silviu;Lung;Romania
Willard;Katsande;Zimbabwe
Amato;Ciciretti;Italy
Jo«úo Pedro;da Silva Pereira;Portugal
Mois«∏s;G«¸mez Bordonado;Spain
Matt;Hedges;United States
Gèçtoku;Sakai;Japan
Simon;Tibbling;Sweden
Emil;Krafth;Sweden
Thabo;Matlaba;South Africa
Alfonso;Gonz«≠lez;Mexico
Oussama;Tannane;Morocco
Leandro;Fern«≠ndez;Argentina
Samuele;Longo;Italy
Dimitrios;Kourmpelis;Greece
Romain;Sa«Óss;Morocco
Robin;Quaison;Sweden
Adrien;Thomasson;France
Nawaf;Al Abed;Saudi Arabia
Stefan;Mitrovié?;Serbia
Jos«∏ Juan;V«≠zquez;Mexico
Mattheus A.;Gama de Oliveira;Brazil
Joshua;Brenet;Holland
Tomasz;Ké?dziora;Poland
Renato Jo«úo;Saleiro Santos;Portugal
Jhon;C«¸rdoba;Colombia
Jordan;Ikoko;Congo DR
Khalid;Bouta«Ób;Morocco
Francisco;Sol Ortiz;Spain
Ilya;Kutepov;Russia
Edgar Miguel;I«∏;Portugal
Marc;Stendera;Germany
Marc-Oliver;Kempf;Germany
Birger;Verstraete;Belgium
Vincent;Laurini;France
Javier;Manquillo Gait«≠n;Spain
Paulo S«∏rgio;Mota;Portugal
Olarenwaju;Kayode;Nigeria
Da Concei«ı«úo;Fernando Henrique;Brazil
Corentin;Jean;France
Janik;Haberer;Germany
Odisseas;Vlachodimos;Germany
Adis;Jahovié?;FYR Macedonia
Lazar;Markovié?;Serbia
Darko;Lazovié?;Serbia
Nicolae;Stanciu;Romania
Yannick;Gerhardt;Germany
Riechedly;Bazoer;Holland
Clinton;Njie;Cameroon
Hyun Woo;Cho;Korea Republic
Mateo;Pavlovié?;Croatia
Tiago Rafael;Maia Silva;Portugal
Romain;Philippoteaux;France
Levin;«?ztunaléÒ;Germany
Kaku Gu«∏lor;Kanga;Gabon
Flavien;Tait;France
Diego;Vald«∏s;Chile
Felipe;Mora;Chile
Ben;Pearson;England
Abderrazak;Hamdallah;Morocco
Nicol«≠s;Vikonis;Uruguay
Ayron;del Valle;Colombia
Mat«as;Laba;Argentina
Juan;Ram«rez;Argentina
Lucas;Villafa«Òez;Argentina
Juan;Musso;Argentina
Rodrigo;Rey;Argentina
Guillermo;Ort«z;Argentina
«?dson;Puch;Chile
Gino;Peruzzi;Argentina
Cristian;Lema;Argentina
Jonathan;Silva;Argentina
Leonardo;Jara;Argentina
David Jason;Remeseiro Salgueiro;Spain
Damir;Kreilach;Croatia
Rafael;Vaz dos Santos;Brazil
Fernando;Monetti;Argentina
Ignacio;Fern«≠ndez;Argentina
Dami«≠n;Musto;Argentina
Federico;Carrizo;Argentina
Antonio;Di Gaudio;Italy
Anwar;El Ghazi;Holland
«Ålvaro;Garc«a Rivera;Spain
Juan Pablo;A«Òor;Venezuela
Franco;Mussis;Argentina
Kendall;Waston;Costa Rica
Alexandre;Moreno Lopera;Spain
Zainadine;Chavango J«–nior;Mozambique
Didier;Ndong;Gabon
Jos«∏ «Ångel;Pozo la Rosa;Spain
Ignacio;Pussetto;Argentina
Luca;Rizzo;Italy
Jos«∏ Manuel;Rodr«guez Benito;Spain
Hamari;Traor«∏;Mali
Pedro Tanaus«–;Dom«nguez Placeres;Spain
Joseba;Zald«–a Bengoetxea;Spain
Jason;Denayer;Belgium
Valentin;Vada;Argentina
Florent;Hadergjonaj;Switzerland
Renato;Tapia;Peru
Rafael Santos;Borr«∏;Colombia
Ja«Óro;Riedewald;Holland
Dominic;Calvert-Lewin;England
Luciano;Acosta;Argentina
Ollie;Watkins;England
Enzo;Crivelli;France
Miloè≠;Jojié?;Serbia
Peter;è´ulj;Austria
Patrick;Roberts;England
Bernard;Mensah;Ghana
Zinedine;Ferhat;Algeria
Martin;«?degaard;Norway
Warner;Hahn;Holland
Andr«∏s;Ch«≠vez;Argentina
Ayta«ı;Sulu;Turkey
Ozan;Tufan;Turkey
Edoardo;Goldaniga;Italy
Octavio;Rivero;Uruguay
Stefan;Lainer;Austria
Sofyan;Amrabat;Morocco
Ivaylo;Chochev;Bulgaria
Alexandr;Tashaev;Russia
Keagan;Dolly;South Africa
Duje;é?aleta-Car;Croatia
Emiliano;Vel«≠zquez;Uruguay
Sinan;G«¨m«¨è?;Germany
Bruno Miguel;Boialvo Gaspar;Portugal
Adam;Masina;Italy
Jorge;Moreira;Paraguay
Joevin;Jones;Trinidad and Tobago
Roger;Krug Guedes;Brazil
Fabi«≠n;Sambueza;Argentina
Angelo;Fulgini;France
Agust«n;Rossi;Argentina
Almamy;Tour«∏;Mali
Rob;Holding;England
Viktor;Kovalenko;Ukraine
Gelmin;Rivas;Venezuela
Jorge Marco;de Oliveira Moraes;Brazil
Joseph;Aidoo;Ghana
Suat;Serdar;Germany
«Åd«≠m;Nagy;Hungary
Josip;Miè≠ié?;Croatia
Alexander;Hack;Germany
Christian;Bassogog;Cameroon
Emre;Mor;Turkey
Tammy;Abraham;England
Marc;Navarro Ceciliano;Spain
Timothy;Fosu-Mensah;Holland
Ryota;Morioka;Japan
Maur«cio;de Carvalho Ant«¸nio;Brazil
Federico;Ricca;Uruguay
Sebasti«≠n;Bertoli;Argentina
Chidozie;Awaziem;Nigeria
Mason;Mount;England
Samuel;Grandsir;France
Vitor;Frezarin Bueno;Brazil
Luiz;Ara«–jo;Brazil
Oghenekaro;Etebo;Nigeria
Valentin;Rosier;France
Konstantinos;Laifis;Cyprus
Adama;Diakhaby;France
Pedro Miguel;Braga Rebocho;Portugal
Jo«úo Pedro;Reis Amaral;Portugal
Malang;Sarr;France
«Ålvaro Jos«∏;Jim«∏nez Guerrero;Spain
Pol Mikel;Lirola Kosok;Spain
Ezequiel;Barco;Argentina
Davidson;da Luz Pereira;Brazil
Yordan;Osorio;Venezuela
Bruno Alexandre;Vieira Almeida;Portugal
Amadou;Haidara;Mali
Alexandru;Bé?luté?;Romania
Roberto Jesus;Machado Beto Alves;Brazil
Alexandros;Paschalakis;Greece
Teun;Koopmeiners;Holland
Artem;Besedin;Ukraine
Mykyta;Burda;Ukraine
Manuel;Iturra;Chile
Aur«∏lien;Chedjou;Cameroon
Jay;Simpson;England
Diafra;Sakho;Senegal
Giannelli;Imbula;France
Billy;Ketkeophomphone;France
Tolga;Cié?erci;Turkey
Aziz;Behich;Australia
Mattheus A.;Gama de Oliveira;Brazil
Riechedly;Bazoer;Holland
Jorge Marco;de Oliveira Moraes;Brazil
Tammy;Abraham;England
Riad;Nouri;France
Christian;Clemens;Germany
Jens;Stryger Larsen;Denmark
Christian;Santos;Venezuela
Adama;Traor«∏;C«Ôte d'Ivoire
Chris;Mavinga;Congo DR
Karl;Darlow;England
Haris;Seferovié?;Switzerland
Shaun;Hutchinson;England
Tom;Lees;England
Sam;Clucas;England
Necip;Uysal;Turkey
Julian;B«Ùrner;Germany
Kevin;Long;Republic of Ireland
Knowledge;Musona;Zimbabwe
Fallou;Diagne;Senegal
Daniel;S«≠nchez Ayala;Spain
Luca;Marrone;Italy
Yaya;Sanogo;France
Ignasi;Miquel i Pons;Spain
I«Òigo;P«∏rez Soto;Spain
Marvin;Ducksch;Germany
Alejandro;Arribas Garrido;Spain
Aymen;Abdennour;Tunisia
Ra«–l;Garc«a Carnero;Spain
Tim;Ream;United States
Sebasti«≠n;Dubarbier;Argentina
Paulus;Arajuuri;Finland
Anthony;Ujah;Nigeria
Martin;Linnes;Norway
Andy;Najar;Honduras
Vincent;Pajot;France
Ra«–l;Lizoain Cruz;Spain
Bryan;Linssen;Holland
Pablo;Chavarr«a;Argentina
Mat«as;Aguirregaray;Uruguay
David Omar;Rodr«guez Barrera;Spain
Taulant;Xhaka;Albania
Konstantinos;Lamprou;Greece
Almog;Cohen;Israel
Renato;Neto Cardoso Porto;Brazil
Daniel;Royer;Austria
Marcin;Kamiè?ski;Poland
Bartosz;Bereszyè?ski;Poland
Anders;Christiansen;Denmark
Aras;«?zbiliz;Armenia
Stefan;Ortega;Germany
Youness;Mokhtar;Morocco
Benito;Raman;Belgium
Lukas;Hinterseer;Austria
Guilherme;Costa Marques;Brazil
Camilo;da Silva Sanvezzo;Brazil
Steven;Skrzybski;Germany
Tom;Ince;England
Jeffrey;Schlupp;Ghana
Abdenasser;El Khayati;Holland
Bogdan;Stancu;Romania
Oliver;Sorg;Germany
Ga«Ætan;Bussmann;France
Alejandro;P«∏rez Navarro;Spain
Afriyie;Acquah;Ghana
Federico;Santander;Paraguay
Ryder;Matos;Brazil
Juan Carlos;P«∏rez L«¸pez;Spain
Diego;Fagundez;Uruguay
Gustav;Wikheim;Norway
Conor;Coady;England
Benik;Afobe;Congo DR
Darlington;Nagbe;United States
Marvin;Knoll;Germany
Simon;Zoller;Germany
Facundo;Quignon;Argentina
Javier;Espinosa Gonz«≠lez;Spain
Tom;Carroll;England
Gianluca;Caprari;Italy
Oscar;Hiljemark;Sweden
Wellington;S. S«≠nchez Aguiar;Brazil
Britt;Assombalonga;Congo DR
Chris;L«Ùwe;Germany
Tommy;Smith;England
Rodrigo;Galo Brito;Brazil
Gabriel;Hauche;Argentina
Lucas;Andersen;Denmark
Jan;Boè?il;Czech Republic
Dar«o;Lezcano;Paraguay
Edgar;Bad«a Guardiola;Spain
Kerim;Frei;Austria
Marcello;Trotta;Italy
George;Saville;Northern Ireland
Pablo;Herv«as Rubio;Spain
Abdoulaye;Ba;Senegal
Iv«≠n;Piris;Paraguay
Diego;Queiroz de Oliveira;Brazil
Oscar;Lewicki;Sweden
Ryan;Fredericks;England
Filip;Nov«≠k;Czech Republic
Jan;Kopic;Czech Republic
Valeri;Qazaishvili;Georgia
R«–ben Rafael;Sousa Ferreira;Portugal
Andr«∏ Alexandre;Carreira Sousa;Portugal
Luciano;Abecasis;Argentina
Stefanos;Kapino;Greece
Erik;Johansson;Sweden
Kristoffer;Olsson;Sweden
Sanjin;Prcié?;Bosnia and Herzegovina
Iv«≠n;L«¸pez Mendoza;Spain
Stef;Peeters;Belgium
Mikael;Ishak;Sweden
Roberto;Torres Morales;Spain
Modou;Barrow;Gambia
Cristiano;da Silva;Brazil
Mike;van der Hoorn;Holland
Filipe Augusto;Carvalho Souza;Brazil
Imoh;Ezekiel;Nigeria
Sergi;Samper Monta«Ò«≠;Spain
Lucas;Torr«¸ Marset;Spain
Olivier;Boumal;Cameroon
Mariusz;Sté?piè?ski;Poland
Thomas;Foket;Belgium
H«Ùr«¯ur;Magn«–sson;Iceland
«?scar;Plano Pedre«Òo;Spain
K«∏vin Manuel;Rodrigues;Portugal
Maxime;Poundj«∏;France
Gerso;Fernandes;Guinea-Bissau
Jordan;Ad«∏oti;Benin
Rasmus;Thelander;Denmark
Mat«as;Britos;Uruguay
Jos«∏;Rodr«guez Mart«nez;Spain
Cristian;Benavente;Peru
H«∏lder Filipe;Oliveira Lopes;Portugal
Hiroshi;Kiyotake;Japan
Thomas;Murg;Austria
Ibrahima;Mbaye;Senegal
Andreas;Gianniotis;Greece
Fouad;Chafik;Morocco
Niko;Gie«?elmann;Germany
V«ctor;Rodr«guez Romero;Spain
Alexandru;Maxim;Romania
Bradley;Dack;England
Frederico Andr«∏;Ferr«úo Ven«Ωncio;Portugal
Jonathan;G«¸mez;Argentina
Tom;Lawrence;Wales
Carlos;Hern«≠ndez Alarc«¸n;Spain
Federico;Barba;Italy
Kevin;M«Ùhwald;Germany
Rafael;Czichos;Germany
Andr«∏;Hahn;Germany
Rani;Khedira;Germany
Michael;P«∏rez;Mexico
Daniel;Heuer Fernandes;Portugal
Augusto;Solari;Argentina
Jack;O'Connell;England
Lo«Ós;Diony;France
Eduardo Ant«Ônio;Machado Teixeira;Brazil
Wil;Trapp;United States
Gyasi;Zardes;United States
Jordan;Mari«∏;France
Mu;Kanazaki;Japan
Roberto;Su«≠rez Pier;Spain
Mauricio;Sperduti;Argentina
Adrien;Tameze;France
R«∏mi;Walter;France
Fernando;Tobio;Argentina
Mart«n;Nervo;Argentina
Simon;Gustafson;Sweden
Iver;Fossum;Norway
Francisco;Meza;Colombia
Yeison;Gordillo;Colombia
William;Tesillo;Colombia
Andr«∏s;Andrade;Colombia
David;Silva;Colombia
Angelo;Rodr«guez;Colombia
Felipe;Aguilar;Colombia
Ezequiel;Videla;Argentina
Wilson;Morelo;Colombia
Sebasti«≠n;P«∏rez;Colombia
Jefferson;Duque;Colombia
Victor;Ayala;Paraguay
Harrison;Manzala;Congo DR
Dami«≠n;P«∏rez;Argentina
Diego;Braghieri;Argentina
Mat«as;Zaldivia;Argentina
Julio;Furch;Argentina
Milton;Casco;Argentina
Maximiliano;Urruti;Argentina
Enzo;Kalinski;Argentina
Fernando;Manr«quez;Chile
Ciro;Rius;Argentina
Lucas;Janson;Argentina
Adrien;Hunou;France
Ibrahima;Seck;Senegal
Christian;Mathenia;Germany
Matt;Miazga;United States
Jos«∏ Manuel;Garc«a Naranjo;Spain
Samir Caetano;de Souza Santos;Brazil
Boli;Bolingoli;Belgium
Pieter;Gerkens;Belgium
Arijan;Ademi;FYR Macedonia
Sebasti«≠n;Torrico;Argentina
Dr«≠usio Luis;Salia Gil;Brazil
V«ctor;Garc«a;Venezuela
Yuya;Kubo;Japan
Nuno Miguel;Jer«¸nimo Sequeira;Portugal
Gibr«≠n;Lajud;Mexico
Mohamed;Abarhoun;Morocco
Mbwana Ally;Samatta;Tanzania
Josip;Elez;Croatia
Ambroise;Oyongo;Cameroon
Olivier;Ntcham;France
Guillermo;Marip«≠n;Chile
V«ctor;Cantillo;Colombia
Ezequiel;Cerutti;Argentina
Stefan;Simiéç;Czech Republic
Jos«∏ Luis;G«¸mez;Argentina
Mbaye;Diagne;Senegal
Kemar;Lawrence;Jamaica
Junior;Alonso;Paraguay
Jos«∏ «Ångel;Esmoris Tasende;Spain
Wanderson;Ferreira Oliveira;Brazil
Leonardo B.;Lohner Maia;Brazil
Gast«¸n;Silva;Uruguay
Tim;Leibold;Germany
Ger«¸nimo;Poblete;Argentina
Michael;Barrios;Colombia
Andr«∏s Felipe;Roa;Colombia
Luca;Mazzitelli;Italy
Wilfried;Kanon;C«Ôte d'Ivoire
Alfredo;Morelos;Colombia
Andr«∏ Geraldes;de Barros;Portugal
Arber;Zeneli;Kosovo
Ondrej;Duda;Slovakia
Anton;Miranchuk;Russia
Isaac;Success;Nigeria
Marcos G.;Santos Matos;Brazil
Chadrac;Akolo;Congo DR
Walace;Souza Silva;Brazil
Ali;Adnan;Iraq
Nelson;Acevedo;Argentina
Juan Mart«n;Lucero;Argentina
Gideon;Jung;Germany
Robert;Bauer;Germany
Jonathan;Rodr«guez;Uruguay
Manuel;Garc«a Alonso;Spain
Juan Ferney;Otero;Colombia
Kenneth;Saief;United States
Motaz;Hawsawi;Saudi Arabia
Jarlan;Barrera;Colombia
Jhon;Duque;Colombia
é¯rfan Can;Kahveci;Turkey
Guilherme;Arana Lopes;Brazil
Joel;Tagueu;Cameroon
Camilo;Mayada;Uruguay
Kasim;Adams Nuhu;Ghana
Pedro;Gallese;Peru
Pere;Milla Pe«Òa;Spain
Petar;Stojanovié?;Slovenia
Jes«–s;Gallardo;Mexico
Roger;Assal«∏;C«Ôte d'Ivoire
Uche;Agbo;Nigeria
Antonio;Milié?;Croatia
Younes;Namli;Denmark
Ricardo Jorge;Oliveira Valente;Portugal
Takumi;Minamino;Japan
Tim;Parker;United States
Cristian;Roldan;United States
Jeremiah;St. Juste;Holland
Anastasios;Donis;Greece
Seung Joon;Kim;Korea Republic
Simon;Deli;C«Ôte d'Ivoire
Robin;Lod;Finland
Bruno;Valdez;Paraguay
Wuilker;Far««Òez;Venezuela
Zin«∏dine;Machach;France
Dion;Cools;Belgium
Pedro;Rocha Neves;Brazil
William;de Asevedo Furtado;Brazil
Charles Marcelo;da Silva;Brazil
Jo«úo Jos«∏;Pereira da Costa;Portugal
Lu«s Miguel;Vieira da Silva;Portugal
Lucas;Rodr«guez;Argentina
Mario;Hermoso Canseco;Spain
Rade;Krunié?;Bosnia and Herzegovina
Stefano;Sensi;Italy
Gerson;Santos da Silva;Brazil
C«∏sar;Montes;Mexico
Gojko;Cimirot;Bosnia and Herzegovina
Michael;Santos;Uruguay
Brian;Lozano;Uruguay
Casimir;Ninga;Chad
Nejc;Skubic;Slovenia
Adam;Ounas;Algeria
J«∏r«∏my;G«∏lin;France
Jo«úo Ant«¸nio;Antunes Carvalho;Portugal
Axel;Tuanzebe;England
Adalberto;Pe«Òaranda;Venezuela
Yann;Karamoh;France
Maximilian;W«Ùber;Austria
Walter;Gonz«≠lez;Paraguay
Carlos;Santos Rodrigues;Cape Verde Islands
Nicol«≠s;Silva;Argentina
Gen;Shoji;Japan
Junya;Ito;Japan
Denzel;Dumfries;Holland
Miha;Zajc;Slovenia
Igor;Zubeldia Elorza;Spain
Emanuel;Reynoso;Argentina
Jeferson;Fernandes Macedo;Brazil
Bakaye;Dibassy;Mali
Salvador;S«≠nchez Ponce;Spain
Florian;Neuhaus;Germany
Lazar;Rosié?;Serbia
Bj«˜rn;Johnsen;Norway
Dylan;Bronn;Tunisia
Edson;«Ålvarez;Mexico
Brais;M«∏ndez Portela;Spain
Darko;Brasanac;Serbia
Arnaut;Groeneveld;Holland
Luiz Felipe;Ramos Marchi;Brazil
Douglas Luiz;Soares de Paulo;Brazil
Miguel «?ngelo;da Silva Rocha;Portugal
«?scar;Melendo Jim«∏nez;Spain
Saè≠a;Lukié?;Serbia
Martin;Terrier;France
Matej;Mitrovié?;Croatia
Bassem;Srarfi;Tunisia
Ibrahima;Konat«∏;France
Phil;Foden;England
Kenyu;Sugimoto;Japan
Nikola;Milenkovié?;Serbia
Ignacio;Vidal Miralles;Spain
Pedro Miguel;Cunha S«≠;Portugal
Emmanuel;Dennis;Nigeria
Federico;Valverde;Uruguay
Rafael;P«∏rez;Colombia
Nemanja;Maksimovié?;Serbia
Kaveh;Rezaei;Iran
Omar;Alderete;Paraguay
Sergiy;Rybalka;Ukraine
Ferr«≠n;Torres Garc«a;Spain
Jules;Kound«∏;France
Volodymyr;Shepelev;Ukraine
Vladim«r;Coufal;Czech Republic
BaréÒè?;AléÒcéÒ;Turkey
Geoff;Cameron;United States
Lucas;Andersen;Denmark
George;Saville;Northern Ireland
Thomas;Foket;Belgium
Sebasti«≠n;P«∏rez;Colombia
Yann;Karamoh;France
Darko;Brasanac;Serbia
Douglas Luiz;Soares de Paulo;Brazil
Maarten;Stekelenburg;Holland
Gareth;Barry;England
Tim;Howard;United States
Nicolas;Penneteau;France
David;Pizarro;Chile
Steve;von Bergen;Switzerland
Markus;Rosenberg;Sweden
Allan;McGregor;Scotland
Peter;Crouch;England
Eldin;Jakupovié?;Switzerland
Alberto;Cifuentes Mart«nez;Spain
Asier;Riesgo Unamuno;Spain
Rod;Fanni;France
Michael;Rensing;Germany
Stijn;Schaars;Holland
Boè≠tjan;Cesar;Slovenia
Aitor;Sanz Mart«n;Spain
Fabi«≠n;Cubero;Argentina
Jon«≠s;Guti«∏rrez;Argentina
Javier;Gandolfi;Argentina
Luciano;Pocrnjic;Argentina
Yal«ıéÒn;Ayhan;Turkey
Muhammet;Demir;Turkey
Fernando;Seoane Antelo;Spain
Jaroslav;Drobn«´;Czech Republic
Romain;Salin;France
Jason;Puncheon;England
Edgar;Barreto;Paraguay
Manuel;Pasqual;Italy
Hwa Yong;Shin;Korea Republic
Aiden;McGeady;Republic of Ireland
Joe;Lewis;England
Yoan;Gouffran;France
Marco;Russ;Germany
Scott;Carson;England
Ken;Reichel;Germany
Willem;Janssen;Holland
Julio;Barroso;Argentina
Leonardo;Pisculichi;Argentina
Oriol;Riera Magem;Spain
«?lton Jos«∏;Xavier Gomes;Brazil
Ben;Watson;England
J«∏r«∏my;M«∏nez;France
Alberto;Zapater Arjol;Spain
Fernando;Amorebieta;Venezuela
James;Morrison;Scotland
Julien;F«∏ret;France
Brad;Guzan;United States
Arnaldo Edi;Lopes da Silva;Portugal
Joe;Ledley;Wales
Olivier;Veigneau;France
Nicol«≠s;Navarro;Argentina
Leonardo;Ulloa;Argentina
Francisco Jos«∏;Molinero Calder«¸n;Spain
Danilo;Aparecido da Silva;Brazil
Kirill;Nababkin;Russia
Nicklas;Bendtner;Denmark
J«∏r«∏my;Sorbon;France
Hugo;Rodallega;Colombia
Danijel;Milié?evié?;Bosnia and Herzegovina
Tarik;Elyounoussi;Norway
